metrica,grupo,carga,protocolo,media,desvio,n
app_lat_p50_ms,app,10,mqtt,1.312667,0.015003,3
app_lat_p50_ms,app,10,http,4.288633,0.196549,3
app_lat_p50_ms,app,10,coap,6.714767,0.167166,3
app_lat_p50_ms,app,20,mqtt,1.379333,0.018463,3
app_lat_p50_ms,app,20,http,4.810400,0.172348,3
app_lat_p50_ms,app,20,coap,7.472333,0.780110,3
app_lat_p50_ms,app,30,mqtt,1.435700,0.034586,3
app_lat_p50_ms,app,30,http,3.885700,0.175968,3
app_lat_p50_ms,app,30,coap,6.508667,0.108552,3
app_lat_p50_ms,app,40,mqtt,1.404267,0.023035,3
app_lat_p50_ms,app,40,http,3.906800,0.046481,3
app_lat_p50_ms,app,40,coap,6.332100,0.442381,3
app_lat_p50_ms,app,50,mqtt,1.519867,0.019147,3
app_lat_p50_ms,app,50,http,3.818133,0.044523,3
app_lat_p50_ms,app,50,coap,6.126267,0.572330,3
app_lat_p90_ms,app,10,mqtt,2.093600,0.096250,3
app_lat_p90_ms,app,10,http,8.375533,1.474093,3
app_lat_p90_ms,app,10,coap,12.895367,1.281305,3
app_lat_p90_ms,app,20,mqtt,2.602700,0.403224,3
app_lat_p90_ms,app,20,http,9.416367,0.903840,3
app_lat_p90_ms,app,20,coap,16.746967,4.115810,3
app_lat_p90_ms,app,30,mqtt,3.944033,0.888421,3
app_lat_p90_ms,app,30,http,8.096767,0.742363,3
app_lat_p90_ms,app,30,coap,14.540600,2.128538,3
app_lat_p90_ms,app,40,mqtt,5.836200,2.460780,3
app_lat_p90_ms,app,40,http,20.631033,13.759416,3
app_lat_p90_ms,app,40,coap,16.255667,3.471504,3
app_lat_p90_ms,app,50,mqtt,111.727233,91.177733,3
app_lat_p90_ms,app,50,http,1028.063467,6.086834,3
app_lat_p90_ms,app,50,coap,21.424300,5.347843,3
app_lat_p99_ms,app,10,mqtt,3.428224,0.819899,3
app_lat_p99_ms,app,10,http,13.387619,2.804711,3
app_lat_p99_ms,app,10,coap,18.018841,3.325011,3
app_lat_p99_ms,app,20,mqtt,4.313071,0.727036,3
app_lat_p99_ms,app,20,http,14.021050,1.135378,3
app_lat_p99_ms,app,20,coap,23.561608,1.203841,3
app_lat_p99_ms,app,30,mqtt,111.495000,57.779886,3
app_lat_p99_ms,app,30,http,1197.151629,157.986300,3
app_lat_p99_ms,app,30,coap,645.318207,70.616722,3
