ap_beacon_loss,ap_bitrate_media_mbps,ap_failed,ap_peer_tx_pkts,ap_pkts_rx,ap_pkts_tx,ap_retries,ap_rssi_media_dbm,app_dups,app_gaps,app_goodput_media_kbps,app_lat_max_ms,app_lat_media_ms,app_lat_min_ms,app_lat_p99_ms,app_msgs_total,app_perda_pct,arquivo,broker_clients,broker_msg_recv,broker_msg_sent,broker_pub_sent,broker_rx_kbps,broker_tx_kbps,carga,channel,det_acuracia_pct,det_classe_0_obs,det_classe_0_ok,det_classe_0_taxa_pct,det_classe_1_obs,det_classe_1_ok,det_classe_1_taxa_pct,det_classe_2_obs,det_classe_2_ok,det_classe_2_taxa_pct,det_classe_3_obs,det_classe_3_ok,det_classe_3_taxa_pct,det_corretas,det_n_total,dist_aps_m,experimento,falhas_assoc,fim_ts,inicio_ts,mem_antes_mb,n_app_csv,n_aps,n_stas_csv,protocolo,raio_m,raio_min_m,run,sensores_por_ap,sta_beacon_loss,sta_bitrate_media_mbps,sta_bytes_rx,sta_bytes_tx,sta_failed,sta_pkts_rx,sta_pkts_tx,sta_retries,sta_rssi_media_dbm,status,tempo_s,wall_s,app_goodput_sustentado_kbps,app_lat_p50_ms,app_lat_p90_ms,app_lat_p99_ms_all
0.0,37.03389830508475,0.0,310.0,580.0,339.0,0.0,-46.0,0,0,1.622818,4.4205,1.369936,0.2754,2.614845,660.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c10_run1,14,314.0,1889.0,1577.0,1.733532,6.205369,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260914_235110,0,1789430294,1789429870,2138,3,1,10,mqtt,60,30,1,10,0.0,49.480649717514126,52492.0,112050.0,0.0,591.0,580.0,0.0,-46.0,ok,300,424.1,1.6775,1.2975,1.9973,3.2929
0.0,37.03389830508475,0.0,310.0,580.0,340.0,0.0,-46.9,0,0,1.622485,8.9948,1.436164,0.1359,3.415336,660.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c10_run2,14,314.0,1889.0,1577.0,1.733478,6.205207,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260914_235110,0,1789430722,1789430298,2367,3,1,10,mqtt,60,30,2,10,0.0,49.480649717514126,52640.0,112048.0,0.0,592.0,580.0,0.0,-46.9,ok,300,424.2,1.6774,1.3275,2.0937,3.9705
0.0,37.03389830508475,0.0,310.0,580.0,337.0,0.0,-47.2,0,0,1.622697,11.7455,1.485215,0.2592,4.254491,660.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c10_run3,14,314.0,1889.0,1577.0,1.733451,6.205125,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260914_235110,0,1789431150,1789430726,2381,3,1,10,mqtt,60,30,3,10,0.0,49.480649717514126,48650.0,112047.0,0.0,570.0,580.0,0.0,-47.2,ok,300,424.3,1.6774,1.313,2.1898,5.837
0.0,38.75,0.0,336.0,620.0,362.0,0.0,-47.15,0,0,3.244333,16.4855,1.499703,0.206,3.578112,1380.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c20_run1,24,584.0,2855.0,2273.0,3.470861,11.430264,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260914_235110,0,1789431689,1789431154,2390,3,2,20,mqtt,60,30,1,10,0.0,50.548060109289615,102882.0,237049.0,0.0,1192.0,1244.0,0.0,-47.15,ok,300,534.6,3.3514,1.3674,2.2277,4.5905
0.0,38.03333333333333,0.0,336.0,620.0,366.0,0.0,-47.1,0,0,3.249957,15.3556,1.771751,0.2227,5.031916,1380.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c20_run2,24,584.0,2852.0,2270.0,3.470942,11.427227,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260914_235110,0,1789432228,1789431693,2391,3,2,20,mqtt,60,30,2,10,0.0,50.7279781420765,103338.0,237414.0,0.0,1193.0,1248.0,0.0,-47.1,ok,300,534.6,3.3539,1.4006,3.0292,8.8423
0.0,37.76271186440678,0.0,317.0,580.0,347.0,0.0,-47.05,0,0,3.247406,21.4612,1.661017,0.1743,4.329186,1380.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c20_run3,24,584.0,2856.0,2274.0,3.471051,11.431485,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260914_235110,0,1789432768,1789432233,2386,3,2,20,mqtt,60,30,3,10,0.0,50.80420765027322,104808.0,237480.0,0.0,1210.0,1249.0,0.0,-47.05,ok,300,534.5,3.3531,1.37,2.5512,8.8307
0.0,42.75555555555555,0.0,370.0,626.0,405.0,0.0,-47.03333333333333,0,0,15.710899,1478.925,7.874544,0.2429,88.596516,1980.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c30_run1,33,827.0,3705.0,2880.0,5.04282,16.135458,30,3,81.42,73,64,87.67,179,94,52.51,66,38,57.58,344,343,99.71,539,662,150,experimento_20260914_235110,1,1789433427,1789432773,2364,3,3,30,mqtt,60,30,1,10,0.0,50.50610985490861,155915.0,357139.0,0.0,1939.0,1900.0,0.0,-47.03448275862069,ok,300,654.7,4.8332,1.407,3.0521,211.9322
0.0,42.31638418079096,0.0,373.0,595.0,410.0,0.0,-46.833333333333336,0,0,14.870402,2094.2972,11.676748,0.2904,177.214489,2040.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c30_run2,34,854.0,3793.0,2941.0,5.215593,16.645397,30,3,80.93,75,66,88.0,190,101,53.16,69,38,55.07,353,351,99.43,556,687,150,experimento_20260914_235110,0,1789434078,1789433433,2368,3,3,30,mqtt,60,30,2,10,0.0,50.31686679941959,164788.0,362814.0,0.0,2076.0,1904.0,0.0,-46.833333333333336,ok,300,645.2,5.0164,1.4741,4.8289,221.6271
0.0,42.91111111111111,0.0,391.0,637.0,429.0,0.0,-46.8,0,0,18.982667,471.9286,6.199519,0.1957,68.673994,2040.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c30_run3,34,854.0,3791.0,2939.0,5.216353,16.645505,30,3,80.93,74,65,87.84,190,101,53.16,69,38,55.07,354,352,99.44,556,687,150,experimento_20260914_235110,0,1789434730,1789434084,2354,3,3,30,mqtt,60,30,3,10,0.0,50.665560109289615,166641.0,374265.0,0.0,2116.0,1989.0,0.0,-46.8,ok,300,645.2,5.0174,1.426,3.9511,209.2979
0.0,44.10373443983403,0.0,382.0,620.0,415.0,0.0,-46.875,0,0,24.3275,1764.029,23.143235,0.2201,254.827986,2640.0,0.0,/app/dados/experimentos/experimento_20260914_235110/raw/c40_run1,43,1097.0,4634.0,3539.0,6.78522,21.332908,40,3,80.86,99,83,83.84,251,141,56.18,89,48,53.93,444,442,99.55,714,883,150,experimento_20260914_235110,1,1789435501,1789434736,2355,3,4,40,mqtt,60,30,1,10,0.0,50.65389169118677,213013.0,507204.0,0.0,2710.0,2655.0,0.0,-46.87179487179487,ok,300,765.5,6.4465,1.4288,8.6098,423.8302
