ap_beacon_loss,ap_bitrate_media_mbps,ap_failed,ap_peer_tx_pkts,ap_pkts_rx,ap_pkts_tx,ap_retries,ap_rssi_media_dbm,app_dups,app_gaps,app_goodput_media_kbps,app_goodput_sustentado_kbps,app_lat_max_ms,app_lat_media_ms,app_lat_min_ms,app_lat_p50_ms,app_lat_p90_ms,app_lat_p99_ms,app_lat_p99_ms_all,app_msgs_total,app_perda_pct,arquivo,broker_clients,broker_msg_recv,broker_msg_sent,broker_pub_sent,broker_rx_kbps,broker_tx_kbps,carga,channel,det_acuracia_pct,det_classe_0_obs,det_classe_0_ok,det_classe_0_taxa_pct,det_classe_1_obs,det_classe_1_ok,det_classe_1_taxa_pct,det_classe_2_obs,det_classe_2_ok,det_classe_2_taxa_pct,det_classe_3_obs,det_classe_3_ok,det_classe_3_taxa_pct,det_corretas,det_n_total,dist_aps_m,experimento,falhas_assoc,fim_ts,inicio_ts,mem_antes_mb,n_app_csv,n_aps,n_stas_csv,protocolo,raio_m,raio_min_m,run,sensores_por_ap,sta_beacon_loss,sta_bitrate_media_mbps,sta_bytes_rx,sta_bytes_tx,sta_failed,sta_pkts_rx,sta_pkts_tx,sta_retries,sta_rssi_media_dbm,status,tempo_s,wall_s
0.0,39.12280701754386,0.0,388.0,388.0,420.0,0.0,-46.6,0,0,1.6212727272727272,1.6755,68.2194,9.811106060606063,2.5361,6.639,14.1988,20.69060303030303,59.461,660.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c10_run1,3,220.0,660.0,660.0,1.5990344827586207,4.7971034482758625,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260915_073606,0,1789458188,1789457766,2942,3,1,10,coap,60,30,1,10,0.0,45.99065940713854,58410.0,83885.0,0.0,694.0,388.0,0.0,-46.6,ok,300,422.3
0.0,43.91228070175438,0.0,363.0,363.0,390.0,0.0,-47.1,0,0,1.6222424242424243,1.677,27.2222,7.274078787878788,2.6555,6.5989,11.6374,14.295081818181817,18.0447,660.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c10_run2,3,220.0,660.0,660.0,1.5994206896551726,4.798262068965517,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260915_073606,0,1789458614,1789458192,2898,3,1,10,coap,60,30,2,10,0.0,46.52619177253479,49548.0,82399.0,0.0,623.0,363.0,0.0,-47.1,ok,300,422.2
0.0,38.98245614035088,0.0,369.0,369.0,402.0,0.0,-46.3,0,0,1.622878787878788,1.6771,70.9267,8.433245454545455,2.5599000000000003,6.9064,12.8499,19.070839393939394,40.436,660.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c10_run3,3,220.0,660.0,660.0,1.5993379310344829,4.798013793103449,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260915_073606,0,1789459040,1789458618,2909,3,1,10,coap,60,30,3,10,0.0,45.95355414398064,58162.0,82756.0,0.0,680.0,369.0,0.0,-46.3,ok,300,422.3
0.0,39.86086956521739,0.0,402.0,379.0,431.0,0.0,-46.15,0,0,3.239623188405797,3.3503,67.1785,9.593698550724639,2.4941,7.6255,15.4351,22.22944202898551,46.2671,1380.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c20_run1,3,440.0,1320.0,1320.0,3.2010206896551723,9.603062068965517,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260915_073606,0,1789459575,1789459044,2908,3,2,20,coap,60,30,1,10,0.0,47.768612371445855,103642.0,168477.0,0.0,1303.0,786.0,0.0,-46.15,ok,300,531.3
0.0,41.3304347826087,0.0,359.0,354.0,385.0,0.0,-46.349999999999994,0,0,3.2373623188405802,3.3487,88.42660000000001,9.564244927536233,2.5833000000000004,6.627,13.447,23.883839130434783,68.5864,1380.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c20_run2,3,440.0,1320.0,1320.0,3.201462068965517,9.604386206896551,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260915_073606,0,1789460111,1789459580,2916,3,2,20,coap,60,30,2,10,0.0,47.321429219600724,98588.0,165133.0,0.0,1238.0,730.0,0.0,-46.35,ok,300,531.4
0.0,43.51754385964912,0.0,404.0,382.0,431.0,0.0,-46.8,0,0,3.2380289855072464,3.3501,89.16539999999999,10.963524637681159,2.5709,8.1645,21.3588,24.571542028985508,48.9554,1380.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c20_run3,3,440.0,1320.0,1320.0,3.201462068965517,9.604386206896551,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260915_073606,0,1789460648,1789460116,2929,3,2,20,coap,60,30,3,10,0.0,48.32851935874168,101979.0,167893.0,0.0,1288.0,776.0,0.0,-46.8,ok,300,531.5
0.0,44.09356725146199,0.0,542.0,445.0,638.0,0.0,-46.93333333333333,0,0,7.3577526881720425,4.6491,2998.9607,63.88757419354839,2.6884,6.3975,13.5449,647.2180225806452,2342.1209,1860.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c30_run1,3,623.0,1869.0,1869.0,4.538731034482758,13.616193103448275,30,3,81.03,72,64,88.89,169,88,52.07,64,33,51.56,333,332,99.7,517,638,150,experimento_20260915_073606,0,1789461293,1789460653,2924,3,3,30,coap,60,30,1,10,0.0,45.63657188949385,230033.0,282801.0,0.0,3849.0,1777.0,0.0,-46.93333333333333,ok,300,640.7
0.0,45.33720930232558,0.0,567.0,466.0,652.0,0.0,-46.86666666666667,0,0,7.658737373737374,4.8051,2994.4589,47.575966666666666,2.5136,6.6144,16.9845,573.7707464646464,1073.9244,1980.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c30_run2,3,646.0,1938.0,1938.0,4.707558620689655,14.122675862068965,30,3,80.91,71,63,88.73,182,94,51.65,66,38,57.58,341,339,99.41,534,660,150,experimento_20260915_073606,0,1789461940,1789461299,2918,3,3,30,coap,60,30,2,10,0.0,47.05303236539625,234376.0,292413.0,0.0,3923.0,1840.0,0.0,-46.86666666666667,ok,300,640.8
0.0,43.81395348837209,0.0,662.0,500.0,785.0,0.0,-47.166666666666664,0,0,7.301916666666667,4.7642,2967.9725,60.909385416666666,2.5237,6.5141,13.0924,714.9658520833333,2307.5919,1920.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c30_run3,3,638.0,1914.0,1914.0,4.652496551724139,13.957489655172415,30,3,80.67,71,63,88.73,183,97,53.01,68,37,54.41,330,329,99.7,526,652,150,experimento_20260915_073606,0,1789462588,1789461946,2926,3,3,30,coap,60,30,3,10,0.0,46.5161625327687,256150.0,301210.0,0.0,4489.0,2017.0,0.0,-47.166666666666664,ok,300,641.7
0.0,47.530701754385966,0.0,624.0,499.0,736.0,0.0,-47.275,0,0,7.3868257575757585,6.4883,2986.4609,117.3534393939394,2.5578000000000003,6.2549,15.171,939.0478636363637,2574.611,2640.0,0.0,/app/dados/experimentos/experimento_20260915_073606/raw/c40_run1,3,880.0,2640.0,2640.0,6.4184,19.255200000000002,40,3,80.86,99,83,83.84,250,139,55.6,93,51,54.84,446,445,99.78,718,888,150,experimento_20260915_073606,0,1789463346,1789462594,2924,3,4,40,coap,60,30,1,10,0.0,48.11951338475499,352816.0,425014.0,0.0,6193.0,2838.0,0.0,-47.275,ok,300,752.0
